ds,yhat,yhat_lower,yhat_upper
2023-02-25,521.7010115907392,-207.77314394872087,1305.3504329643758
2023-02-26,421.0156239265388,-330.23198517029033,1136.3433645393363
2023-02-27,477.55963226736094,-223.80101782230102,1140.078505804473
2023-02-28,427.39438496733266,-296.5874382729662,1132.7995454592092
2023-03-01,419.0664226957405,-313.5349295438026,1130.735997377833
2023-03-02,433.75648813416984,-256.4826970005492,1141.3941576804689
2023-03-03,459.9501384193252,-196.8592938727996,1189.8145448680434
2023-03-04,521.8517716603487,-116.07913710660418,1263.2514802132516
2023-03-05,421.1678272742324,-273.53497586792565,1146.2596728153892
2023-03-06,477.71327889305746,-200.2625901963725,1200.2264572836336
2023-03-07,427.54947487094415,-328.7649848987159,1132.2679447005614
2023-03-08,419.22151259921077,-297.15024804460984,1111.322491247346
2023-03-09,433.9115780382702,-279.67988785327356,1168.628307622935
2023-03-10,460.10522832310113,-254.1478520557853,1149.7677540590998
2023-03-11,522.006861564245,-226.62211030227004,1222.4292177977538
2023-03-12,421.32291717798086,-322.23606823275895,1110.5953342050652
2023-03-13,477.8683687968187,-225.98601727815506,1193.7001039990373
2023-03-15,419.37660264907566,-317.5469450078508,1137.7911450177803
2023-03-17,460.2603185187122,-266.21274188577655,1146.877438513783
2023-03-18,522.1619518327307,-218.85182747630975,1278.162325374314
2023-03-19,421.4780075195155,-282.06835826995706,1135.2062304977883
2023-03-20,478.0234592111717,-228.47953643402337,1204.141176117924
2023-03-21,427.85965526223475,-281.9627089946228,1134.9563107257343
2023-03-22,419.53169306359825,-250.98060333601524,1103.3425694193502
2023-03-23,434.2217585751344,-263.46150785031233,1165.249011055242
2023-03-24,460.4154089333775,-233.92303948804903,1185.3690180095202
2023-03-25,522.3170422472232,-219.10584464458157,1267.2506470642854
2023-03-26,421.6330979107611,-289.71694320099283,1092.630783288872
2023-03-27,478.1785495792982,-266.0296377011779,1176.1776423118863
2023-03-28,428.0147456071136,-268.062164958608,1161.142774996142
2023-03-29,419.68678338539996,-240.33594589020143,1146.3337532623043
2023-03-30,434.37684887368204,-244.82565437505892,1126.7527863432463
2023-03-31,460.5704992084013,-204.83457582135412,1129.260000207902
2023-04-01,522.4721324992158,-169.58430437196785,1212.7678563443642
